3.005000000000000;A1;C03;    · Average delay = 0.0117 s
3.005000000000000;A1;C03;    · Maximum delay = 0.0688 s
3.005000000000000;A1;C03;    · Minimum delay = 0.0001 s
3.005000000000000;A1;C03;    · Associated reward = 0.280615
3.005000000000000;A1;F00; ComputeNewConfiguration()
3.005000000000000;A1;F00; SendNewConfigurationToAp()
3.005000000000000;A1;C03;  - Action (0):
3.005000000000000;A1;C03;    · channel = 0
3.005000000000000;A1;C03;    · cca = -82.000000 dBm
3.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
3.005000000000000;A1;C03;    · max_bandwidth = 1
3.005000000000000;A1;C00;  - Next request to be sent at 3.505000
3.505000000000000;A1;F00; RequestInformationToAp() (request #6)
3.505000000000000;A1;F00; InportReceivingInformationFromAp()
3.505000000000000;A1;C03;  - Action (0):
3.505000000000000;A1;C03;    · channel = 0
3.505000000000000;A1;C03;    · cca = -82.000000 dBm
3.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
3.505000000000000;A1;C03;    · max_bandwidth = 1
3.505000000000000;A1;C03;  - Performance:
3.505000000000000;A1;C03;    · Average throughput = 11.86 Mbps
3.505000000000000;A1;C03;    · Average delay = 0.0096 s
3.505000000000000;A1;C03;    · Maximum delay = 0.0289 s
3.505000000000000;A1;C03;    · Minimum delay = 0.0000 s
3.505000000000000;A1;C03;    · Associated reward = 0.270222
3.505000000000000;A1;F00; ComputeNewConfiguration()
3.505000000000000;A1;F00; SendNewConfigurationToAp()
3.505000000000000;A1;C03;  - Action (1):
3.505000000000000;A1;C03;    · channel = 1
3.505000000000000;A1;C03;    · cca = -82.000000 dBm
3.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
3.505000000000000;A1;C03;    · max_bandwidth = 1
3.505000000000000;A1;C00;  - Next request to be sent at 4.005000
4.005000000000000;A1;F00; RequestInformationToAp() (request #7)
4.005000000000000;A1;F00; InportReceivingInformationFromAp()
4.005000000000000;A1;C03;  - Action (1):
4.005000000000000;A1;C03;    · channel = 1
4.005000000000000;A1;C03;    · cca = -82.000000 dBm
4.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
4.005000000000000;A1;C03;    · max_bandwidth = 1
4.005000000000000;A1;C03;  - Performance:
4.005000000000000;A1;C03;    · Average throughput = 7.30 Mbps
4.005000000000000;A1;C03;    · Average delay = 0.0081 s
4.005000000000000;A1;C03;    · Maximum delay = 0.1496 s
4.005000000000000;A1;C03;    · Minimum delay = 0.0000 s
4.005000000000000;A1;C03;    · Associated reward = 0.166291
4.005000000000000;A1;F00; ComputeNewConfiguration()
4.005000000000000;A1;F00; SendNewConfigurationToAp()
4.005000000000000;A1;C03;  - Action (0):
4.005000000000000;A1;C03;    · channel = 0
4.005000000000000;A1;C03;    · cca = -82.000000 dBm
4.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
4.005000000000000;A1;C03;    · max_bandwidth = 1
4.005000000000000;A1;C00;  - Next request to be sent at 4.505000
4.505000000000000;A1;F00; RequestInformationToAp() (request #8)
4.505000000000000;A1;F00; InportReceivingInformationFromAp()
4.505000000000000;A1;C03;  - Action (0):
4.505000000000000;A1;C03;    · channel = 0
4.505000000000000;A1;C03;    · cca = -82.000000 dBm
4.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
4.505000000000000;A1;C03;    · max_bandwidth = 1
4.505000000000000;A1;C03;  - Performance:
4.505000000000000;A1;C03;    · Average throughput = 0.46 Mbps
4.505000000000000;A1;C03;    · Average delay = 0.4941 s
4.505000000000000;A1;C03;    · Maximum delay = 0.4941 s
4.505000000000000;A1;C03;    · Minimum delay = 0.4941 s
4.505000000000000;A1;C03;    · Associated reward = 0.010393
4.505000000000000;A1;F00; ComputeNewConfiguration()
4.505000000000000;A1;F00; SendNewConfigurationToAp()
4.505000000000000;A1;C03;  - Action (1):
4.505000000000000;A1;C03;    · channel = 1
4.505000000000000;A1;C03;    · cca = -82.000000 dBm
4.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
4.505000000000000;A1;C03;    · max_bandwidth = 1
4.505000000000000;A1;C00;  - Next request to be sent at 5.005000
5.005000000000000;A1;F00; RequestInformationToAp() (request #9)
5.005000000000000;A1;F00; InportReceivingInformationFromAp()
5.005000000000000;A1;C03;  - Action (1):
5.005000000000000;A1;C03;    · channel = 1
5.005000000000000;A1;C03;    · cca = -82.000000 dBm
5.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
5.005000000000000;A1;C03;    · max_bandwidth = 1
5.005000000000000;A1;C03;  - Performance:
5.005000000000000;A1;C03;    · Average throughput = 0.00 Mbps
5.005000000000000;A1;C03;    · Average delay = -nan s
5.005000000000000;A1;C03;    · Maximum delay = 0.0000 s
5.005000000000000;A1;C03;    · Minimum delay = 10000.0000 s
5.005000000000000;A1;C03;    · Associated reward = 0.000000
5.005000000000000;A1;F00; ComputeNewConfiguration()
5.005000000000000;A1;F00; SendNewConfigurationToAp()
5.005000000000000;A1;C03;  - Action (0):
5.005000000000000;A1;C03;    · channel = 0
5.005000000000000;A1;C03;    · cca = -82.000000 dBm
5.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
5.005000000000000;A1;C03;    · max_bandwidth = 1
5.005000000000000;A1;C00;  - Next request to be sent at 5.505000
5.505000000000000;A1;F00; RequestInformationToAp() (request #10)
5.505000000000000;A1;F00; InportReceivingInformationFromAp()
5.505000000000000;A1;C03;  - Action (0):
5.505000000000000;A1;C03;    · channel = 0
5.505000000000000;A1;C03;    · cca = -82.000000 dBm
5.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
5.505000000000000;A1;C03;    · max_bandwidth = 1
5.505000000000000;A1;C03;  - Performance:
5.505000000000000;A1;C03;    · Average throughput = 0.00 Mbps
5.505000000000000;A1;C03;    · Average delay = 0.9939 s
5.505000000000000;A1;C03;    · Maximum delay = 0.9939 s
5.505000000000000;A1;C03;    · Minimum delay = 0.9939 s
5.505000000000000;A1;C03;    · Associated reward = 0.000000
5.505000000000000;A1;F00; ComputeNewConfiguration()
5.505000000000000;A1;F00; SendNewConfigurationToAp()
5.505000000000000;A1;C03;  - Action (1):
5.505000000000000;A1;C03;    · channel = 1
5.505000000000000;A1;C03;    · cca = -82.000000 dBm
5.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
5.505000000000000;A1;C03;    · max_bandwidth = 1
5.505000000000000;A1;C00;  - Next request to be sent at 6.005000
6.005000000000000;A1;F00; RequestInformationToAp() (request #11)
6.005000000000000;A1;F00; InportReceivingInformationFromAp()
6.005000000000000;A1;C03;  - Action (1):
6.005000000000000;A1;C03;    · channel = 1
6.005000000000000;A1;C03;    · cca = -82.000000 dBm
6.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
6.005000000000000;A1;C03;    · max_bandwidth = 1
6.005000000000000;A1;C03;  - Performance:
6.005000000000000;A1;C03;    · Average throughput = 3.65 Mbps
6.005000000000000;A1;C03;    · Average delay = 0.0089 s
6.005000000000000;A1;C03;    · Maximum delay = 0.0173 s
6.005000000000000;A1;C03;    · Minimum delay = 0.0001 s
6.005000000000000;A1;C03;    · Associated reward = 0.083145
6.005000000000000;A1;F00; ComputeNewConfiguration()
6.005000000000000;A1;F00; SendNewConfigurationToAp()
6.005000000000000;A1;C03;  - Action (0):
6.005000000000000;A1;C03;    · channel = 0
6.005000000000000;A1;C03;    · cca = -82.000000 dBm
6.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
6.005000000000000;A1;C03;    · max_bandwidth = 1
6.005000000000000;A1;C00;  - Next request to be sent at 6.505000
6.505000000000000;A1;F00; RequestInformationToAp() (request #12)
6.505000000000000;A1;F00; InportReceivingInformationFromAp()
6.505000000000000;A1;C03;  - Action (0):
6.505000000000000;A1;C03;    · channel = 0
6.505000000000000;A1;C03;    · cca = -82.000000 dBm
6.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
6.505000000000000;A1;C03;    · max_bandwidth = 1
6.505000000000000;A1;C03;  - Performance:
6.505000000000000;A1;C03;    · Average throughput = 10.03 Mbps
6.505000000000000;A1;C03;    · Average delay = 0.0136 s
6.505000000000000;A1;C03;    · Maximum delay = 0.1781 s
6.505000000000000;A1;C03;    · Minimum delay = 0.0000 s
6.505000000000000;A1;C03;    · Associated reward = 0.228650
6.505000000000000;A1;F00; ComputeNewConfiguration()
6.505000000000000;A1;F00; SendNewConfigurationToAp()
6.505000000000000;A1;C03;  - Action (1):
6.505000000000000;A1;C03;    · channel = 1
6.505000000000000;A1;C03;    · cca = -82.000000 dBm
6.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
6.505000000000000;A1;C03;    · max_bandwidth = 1
6.505000000000000;A1;C00;  - Next request to be sent at 7.005000
7.005000000000000;A1;F00; RequestInformationToAp() (request #13)
7.005000000000000;A1;F00; InportReceivingInformationFromAp()
7.005000000000000;A1;C03;  - Action (1):
7.005000000000000;A1;C03;    · channel = 1
7.005000000000000;A1;C03;    · cca = -82.000000 dBm
7.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
7.005000000000000;A1;C03;    · max_bandwidth = 1
7.005000000000000;A1;C03;  - Performance:
7.005000000000000;A1;C03;    · Average throughput = 8.21 Mbps
7.005000000000000;A1;C03;    · Average delay = 0.0079 s
7.005000000000000;A1;C03;    · Maximum delay = 0.1263 s
7.005000000000000;A1;C03;    · Minimum delay = 0.0000 s
7.005000000000000;A1;C03;    · Associated reward = 0.187077
7.005000000000000;A1;F00; ComputeNewConfiguration()
7.005000000000000;A1;F00; SendNewConfigurationToAp()
7.005000000000000;A1;C03;  - Action (0):
7.005000000000000;A1;C03;    · channel = 0
7.005000000000000;A1;C03;    · cca = -82.000000 dBm
7.005000000000000;A1;C03;    · tx_power = 15.000000 dBm
7.005000000000000;A1;C03;    · max_bandwidth = 1
7.005000000000000;A1;C00;  - Next request to be sent at 7.505000
7.505000000000000;A1;F00; RequestInformationToAp() (request #14)
7.505000000000000;A1;F00; InportReceivingInformationFromAp()
7.505000000000000;A1;C03;  - Action (0):
7.505000000000000;A1;C03;    · channel = 0
7.505000000000000;A1;C03;    · cca = -82.000000 dBm
7.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
7.505000000000000;A1;C03;    · max_bandwidth = 1
7.505000000000000;A1;C03;  - Performance:
7.505000000000000;A1;C03;    · Average throughput = 13.22 Mbps
7.505000000000000;A1;C03;    · Average delay = 0.0098 s
7.505000000000000;A1;C03;    · Maximum delay = 0.0403 s
7.505000000000000;A1;C03;    · Minimum delay = 0.0001 s
7.505000000000000;A1;C03;    · Associated reward = 0.301402
7.505000000000000;A1;F00; ComputeNewConfiguration()
7.505000000000000;A1;F00; SendNewConfigurationToAp()
7.505000000000000;A1;C03;  - Action (1):
7.505000000000000;A1;C03;    · channel = 1
7.505000000000000;A1;C03;    · cca = -82.000000 dBm
7.505000000000000;A1;C03;    · tx_power = 15.000000 dBm
7.505000000000000;A1;C03;    · max_bandwidth = 1
7.505000000000000;A1;C00;  - Next request to be sent at 8.005000
8.005000000000001;A1;F00; RequestInformationToAp() (request #15)
8.005000000000001;A1;F00; InportReceivingInformationFromAp()
8.005000000000001;A1;C03;  - Action (1):
8.005000000000001;A1;C03;    · channel = 1
8.005000000000001;A1;C03;    · cca = -82.000000 dBm
8.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
8.005000000000001;A1;C03;    · max_bandwidth = 1
8.005000000000001;A1;C03;  - Performance:
8.005000000000001;A1;C03;    · Average throughput = 5.93 Mbps
8.005000000000001;A1;C03;    · Average delay = 0.0202 s
8.005000000000001;A1;C03;    · Maximum delay = 0.1208 s
8.005000000000001;A1;C03;    · Minimum delay = 0.0000 s
8.005000000000001;A1;C03;    · Associated reward = 0.135111
8.005000000000001;A1;F00; ComputeNewConfiguration()
8.005000000000001;A1;F00; SendNewConfigurationToAp()
8.005000000000001;A1;C03;  - Action (0):
8.005000000000001;A1;C03;    · channel = 0
8.005000000000001;A1;C03;    · cca = -82.000000 dBm
8.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
8.005000000000001;A1;C03;    · max_bandwidth = 1
8.005000000000001;A1;C00;  - Next request to be sent at 8.505000
8.505000000000001;A1;F00; RequestInformationToAp() (request #16)
8.505000000000001;A1;F00; InportReceivingInformationFromAp()
8.505000000000001;A1;C03;  - Action (0):
8.505000000000001;A1;C03;    · channel = 0
8.505000000000001;A1;C03;    · cca = -82.000000 dBm
8.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
8.505000000000001;A1;C03;    · max_bandwidth = 1
8.505000000000001;A1;C03;  - Performance:
8.505000000000001;A1;C03;    · Average throughput = 8.21 Mbps
8.505000000000001;A1;C03;    · Average delay = 0.0212 s
8.505000000000001;A1;C03;    · Maximum delay = 0.2018 s
8.505000000000001;A1;C03;    · Minimum delay = 0.0000 s
8.505000000000001;A1;C03;    · Associated reward = 0.187077
8.505000000000001;A1;F00; ComputeNewConfiguration()
8.505000000000001;A1;F00; SendNewConfigurationToAp()
8.505000000000001;A1;C03;  - Action (1):
8.505000000000001;A1;C03;    · channel = 1
8.505000000000001;A1;C03;    · cca = -82.000000 dBm
8.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
8.505000000000001;A1;C03;    · max_bandwidth = 1
8.505000000000001;A1;C00;  - Next request to be sent at 9.005000
9.005000000000001;A1;F00; RequestInformationToAp() (request #17)
9.005000000000001;A1;F00; InportReceivingInformationFromAp()
9.005000000000001;A1;C03;  - Action (1):
9.005000000000001;A1;C03;    · channel = 1
9.005000000000001;A1;C03;    · cca = -82.000000 dBm
9.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
9.005000000000001;A1;C03;    · max_bandwidth = 1
9.005000000000001;A1;C03;  - Performance:
9.005000000000001;A1;C03;    · Average throughput = 0.46 Mbps
9.005000000000001;A1;C03;    · Average delay = 0.4940 s
9.005000000000001;A1;C03;    · Maximum delay = 0.4940 s
9.005000000000001;A1;C03;    · Minimum delay = 0.4940 s
9.005000000000001;A1;C03;    · Associated reward = 0.010393
9.005000000000001;A1;F00; ComputeNewConfiguration()
9.005000000000001;A1;F00; SendNewConfigurationToAp()
9.005000000000001;A1;C03;  - Action (0):
9.005000000000001;A1;C03;    · channel = 0
9.005000000000001;A1;C03;    · cca = -82.000000 dBm
9.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
9.005000000000001;A1;C03;    · max_bandwidth = 1
9.005000000000001;A1;C00;  - Next request to be sent at 9.505000
9.505000000000001;A1;F00; RequestInformationToAp() (request #18)
9.505000000000001;A1;F00; InportReceivingInformationFromAp()
9.505000000000001;A1;C03;  - Action (0):
9.505000000000001;A1;C03;    · channel = 0
9.505000000000001;A1;C03;    · cca = -82.000000 dBm
9.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
9.505000000000001;A1;C03;    · max_bandwidth = 1
9.505000000000001;A1;C03;  - Performance:
9.505000000000001;A1;C03;    · Average throughput = 0.46 Mbps
9.505000000000001;A1;C03;    · Average delay = 0.4945 s
9.505000000000001;A1;C03;    · Maximum delay = 0.4945 s
9.505000000000001;A1;C03;    · Minimum delay = 0.4945 s
9.505000000000001;A1;C03;    · Associated reward = 0.010393
9.505000000000001;A1;F00; ComputeNewConfiguration()
9.505000000000001;A1;F00; SendNewConfigurationToAp()
9.505000000000001;A1;C03;  - Action (1):
9.505000000000001;A1;C03;    · channel = 1
9.505000000000001;A1;C03;    · cca = -82.000000 dBm
9.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
9.505000000000001;A1;C03;    · max_bandwidth = 1
9.505000000000001;A1;C00;  - Next request to be sent at 10.005000
10.005000000000001;A1;F00; RequestInformationToAp() (request #19)
10.005000000000001;A1;F00; InportReceivingInformationFromAp()
10.005000000000001;A1;C03;  - Action (1):
10.005000000000001;A1;C03;    · channel = 1
10.005000000000001;A1;C03;    · cca = -82.000000 dBm
10.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
10.005000000000001;A1;C03;    · max_bandwidth = 1
10.005000000000001;A1;C03;  - Performance:
10.005000000000001;A1;C03;    · Average throughput = 0.00 Mbps
10.005000000000001;A1;C03;    · Average delay = 0.4945 s
10.005000000000001;A1;C03;    · Maximum delay = 0.4945 s
10.005000000000001;A1;C03;    · Minimum delay = 0.4945 s
10.005000000000001;A1;C03;    · Associated reward = 0.000000
10.005000000000001;A1;F00; ComputeNewConfiguration()
10.005000000000001;A1;F00; SendNewConfigurationToAp()
10.005000000000001;A1;C03;  - Action (0):
10.005000000000001;A1;C03;    · channel = 0
10.005000000000001;A1;C03;    · cca = -82.000000 dBm
10.005000000000001;A1;C03;    · tx_power = 15.000000 dBm
10.005000000000001;A1;C03;    · max_bandwidth = 1
10.005000000000001;A1;C00;  - Next request to be sent at 10.505000
10.505000000000001;A1;F00; RequestInformationToAp() (request #20)
10.505000000000001;A1;F00; InportReceivingInformationFromAp()
10.505000000000001;A1;C03;  - Action (0):
10.505000000000001;A1;C03;    · channel = 0
10.505000000000001;A1;C03;    · cca = -82.000000 dBm
10.505000000000001;A1;C03;    · tx_power = 15.000000 dBm
10.505000000000001;A1;C03;    · max_bandwidth = 1
10.505000000000001;A1;C03;  - Performance:
10.505000000000001;A1;C03;    · Average throughput = 0.00 Mbps
10.505000000000001;A1;C03;    · Average delay = -nan s
10.505000000000001;A1;C03;    · Maximum delay = 0.0000 s
10.505000000000001;A1;C03;    · Minimum delay = 10000.0000 s
10.505000000000001;A1;C03;    · Associated reward = 0.000000
10.505000000000001;A1;F00; ComputeNewConfiguration()
10.505000000000001;A1;F00; SendNewConfigurationToAp()
10.505000000000001;A1;C03;  - Action (1):
