3.010000000000000;A2;C03;    · Average delay = 0.0055 s
3.010000000000000;A2;C03;    · Maximum delay = 0.0172 s
3.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
3.010000000000000;A2;C03;    · Associated reward = 0.467692
3.010000000000000;A2;F00; ComputeNewConfiguration()
3.010000000000000;A2;F00; SendNewConfigurationToAp()
3.010000000000000;A2;C03;  - Action (1):
3.010000000000000;A2;C03;    · channel = 1
3.010000000000000;A2;C03;    · cca = -82.000000 dBm
3.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
3.010000000000000;A2;C03;    · max_bandwidth = 1
3.010000000000000;A2;C00;  - Next request to be sent at 3.510000
3.510000000000000;A2;F00; RequestInformationToAp() (request #6)
3.510000000000000;A2;F00; InportReceivingInformationFromAp()
3.510000000000000;A2;C03;  - Action (1):
3.510000000000000;A2;C03;    · channel = 1
3.510000000000000;A2;C03;    · cca = -82.000000 dBm
3.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
3.510000000000000;A2;C03;    · max_bandwidth = 1
3.510000000000000;A2;C03;  - Performance:
3.510000000000000;A2;C03;    · Average throughput = 39.67 Mbps
3.510000000000000;A2;C03;    · Average delay = 0.0001 s
3.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
3.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
3.510000000000000;A2;C03;    · Associated reward = 0.904205
3.510000000000000;A2;F00; ComputeNewConfiguration()
3.510000000000000;A2;F00; SendNewConfigurationToAp()
3.510000000000000;A2;C03;  - Action (0):
3.510000000000000;A2;C03;    · channel = 0
3.510000000000000;A2;C03;    · cca = -82.000000 dBm
3.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
3.510000000000000;A2;C03;    · max_bandwidth = 1
3.510000000000000;A2;C00;  - Next request to be sent at 4.010000
4.010000000000000;A2;F00; RequestInformationToAp() (request #7)
4.010000000000000;A2;F00; InportReceivingInformationFromAp()
4.010000000000000;A2;C03;  - Action (0):
4.010000000000000;A2;C03;    · channel = 0
4.010000000000000;A2;C03;    · cca = -82.000000 dBm
4.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
4.010000000000000;A2;C03;    · max_bandwidth = 1
4.010000000000000;A2;C03;  - Performance:
4.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
4.010000000000000;A2;C03;    · Average delay = 0.0001 s
4.010000000000000;A2;C03;    · Maximum delay = 0.0002 s
4.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
4.010000000000000;A2;C03;    · Associated reward = 0.904205
4.010000000000000;A2;F00; ComputeNewConfiguration()
4.010000000000000;A2;F00; SendNewConfigurationToAp()
4.010000000000000;A2;C03;  - Action (0):
4.010000000000000;A2;C03;    · channel = 0
4.010000000000000;A2;C03;    · cca = -82.000000 dBm
4.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
4.010000000000000;A2;C03;    · max_bandwidth = 1
4.010000000000000;A2;C00;  - Next request to be sent at 4.510000
4.510000000000000;A2;F00; RequestInformationToAp() (request #8)
4.510000000000000;A2;F00; InportReceivingInformationFromAp()
4.510000000000000;A2;C03;  - Action (0):
4.510000000000000;A2;C03;    · channel = 0
4.510000000000000;A2;C03;    · cca = -82.000000 dBm
4.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
4.510000000000000;A2;C03;    · max_bandwidth = 1
4.510000000000000;A2;C03;  - Performance:
4.510000000000000;A2;C03;    · Average throughput = 39.67 Mbps
4.510000000000000;A2;C03;    · Average delay = 0.0001 s
4.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
4.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
4.510000000000000;A2;C03;    · Associated reward = 0.904205
4.510000000000000;A2;F00; ComputeNewConfiguration()
4.510000000000000;A2;F00; SendNewConfigurationToAp()
4.510000000000000;A2;C03;  - Action (1):
4.510000000000000;A2;C03;    · channel = 1
4.510000000000000;A2;C03;    · cca = -82.000000 dBm
4.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
4.510000000000000;A2;C03;    · max_bandwidth = 1
4.510000000000000;A2;C00;  - Next request to be sent at 5.010000
5.010000000000000;A2;F00; RequestInformationToAp() (request #9)
5.010000000000000;A2;F00; InportReceivingInformationFromAp()
5.010000000000000;A2;C03;  - Action (1):
5.010000000000000;A2;C03;    · channel = 1
5.010000000000000;A2;C03;    · cca = -82.000000 dBm
5.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
5.010000000000000;A2;C03;    · max_bandwidth = 1
5.010000000000000;A2;C03;  - Performance:
5.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
5.010000000000000;A2;C03;    · Average delay = 0.0001 s
5.010000000000000;A2;C03;    · Maximum delay = 0.0002 s
5.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
5.010000000000000;A2;C03;    · Associated reward = 0.904205
5.010000000000000;A2;F00; ComputeNewConfiguration()
5.010000000000000;A2;F00; SendNewConfigurationToAp()
5.010000000000000;A2;C03;  - Action (1):
5.010000000000000;A2;C03;    · channel = 1
5.010000000000000;A2;C03;    · cca = -82.000000 dBm
5.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
5.010000000000000;A2;C03;    · max_bandwidth = 1
5.010000000000000;A2;C00;  - Next request to be sent at 5.510000
5.510000000000000;A2;F00; RequestInformationToAp() (request #10)
5.510000000000000;A2;F00; InportReceivingInformationFromAp()
5.510000000000000;A2;C03;  - Action (1):
5.510000000000000;A2;C03;    · channel = 1
5.510000000000000;A2;C03;    · cca = -82.000000 dBm
5.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
5.510000000000000;A2;C03;    · max_bandwidth = 1
5.510000000000000;A2;C03;  - Performance:
5.510000000000000;A2;C03;    · Average throughput = 39.67 Mbps
5.510000000000000;A2;C03;    · Average delay = 0.0001 s
5.510000000000000;A2;C03;    · Maximum delay = 0.0002 s
5.510000000000000;A2;C03;    · Minimum delay = 0.0000 s
5.510000000000000;A2;C03;    · Associated reward = 0.904205
5.510000000000000;A2;F00; ComputeNewConfiguration()
5.510000000000000;A2;F00; SendNewConfigurationToAp()
5.510000000000000;A2;C03;  - Action (1):
5.510000000000000;A2;C03;    · channel = 1
5.510000000000000;A2;C03;    · cca = -82.000000 dBm
5.510000000000000;A2;C03;    · tx_power = 15.000000 dBm
5.510000000000000;A2;C03;    · max_bandwidth = 1
5.510000000000000;A2;C00;  - Next request to be sent at 6.010000
6.010000000000000;A2;F00; RequestInformationToAp() (request #11)
6.010000000000000;A2;F00; InportReceivingInformationFromAp()
6.010000000000000;A2;C03;  - Action (1):
6.010000000000000;A2;C03;    · channel = 1
6.010000000000000;A2;C03;    · cca = -82.000000 dBm
6.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
6.010000000000000;A2;C03;    · max_bandwidth = 1
6.010000000000000;A2;C03;  - Performance:
6.010000000000000;A2;C03;    · Average throughput = 39.67 Mbps
6.010000000000000;A2;C03;    · Average delay = 0.0001 s
6.010000000000000;A2;C03;    · Maximum delay = 0.0002 s
6.010000000000000;A2;C03;    · Minimum delay = 0.0000 s
6.010000000000000;A2;C03;    · Associated reward = 0.904205
6.010000000000000;A2;F00; ComputeNewConfiguration()
6.010000000000000;A2;F00; SendNewConfigurationToAp()
6.010000000000000;A2;C03;  - Action (1):
6.010000000000000;A2;C03;    · channel = 1
6.010000000000000;A2;C03;    · cca = -82.000000 dBm
6.010000000000000;A2;C03;    · tx_power = 15.000000 dBm
6.010000000000000;A2;C03;    · max_bandwidth = 1
6.010000000000000;A2;C00;  - Next request to be sent at 6.510000
6.510000000000000;A2;F00; RequestInformationToAp() (request #12)
6.510000000000000;A2;F00; InportReceivingInformationFromAp()
